	ra	dec	mag	x	y	z
1559	0.08477037996997679	-0.15400647438587056	3.56	0.9846160762527765	0.08366665180303358	-0.1533984151178121
1595	0.08747817103798339	-1.1322787044931846	4.23	0.42297063972757915	0.03713716581657194	-0.9053820568376395
1641	0.08987442083450899	0.1429471955806085	5.38	0.9858056148210892	0.08883800224160351	0.14246086881995088
1682	0.0921578350948932	0.6626771347325966	5.16	0.7850025860519345	0.07255009776558652	0.6152295695152983
1704	0.09389827742498194	-0.5058220561146685	5.18	0.8709228681240573	0.08201961549965481	-0.4845267179958755
1955	0.10817367444289397	1.0791555246382873	5.38	0.4693136402220279	0.05096669677976553	0.881559472140654
2016	0.11202814682946083	-1.3483409712989516	2.82	0.21923393881015138	0.024737482434020075	-0.9753586709701275
2069	0.11433198144209335	-0.7623568327581022	3.93	0.7184884776963592	0.08250730440061907	-0.6906278680578362
2076	0.11468279262174422	-0.7383786617361632	2.4	0.734702444869232	0.08463175657617901	-0.673089728997556
2204	0.12186028463764569	-0.5760837409056191	4.86	0.8323835472846003	0.10193954404014781	-0.5447439394530172
2213	0.12238466881140737	0.3122939447209104	5.01	0.944513357541628	0.11617490219351741	0.3072424279388633
